WriteRestartFile checkpoint layout, derived from rosco/controller/src/ROSCO_IO.f90
  items (WRITE statements): 307
  ACC_INFILE extent read from the file: 45
  predicted total bytes: 460813
  vit_chkp36100.RO.chkp: 460813 bytes
  LAYOUT CHECK: PASS

CENSUS over 195 reference checkpoint(s) in pre
  distinct file lengths: [460813]
  laid out with this table: 195 of 195  (the rest have a different ACC_INFILE extent)
  VARIES across the corpus : 180
  constant and NON-zero    : 31
  constant and ZERO        : 96   <- no mutant that only moves one of these can die here

  offset   size state      item
      908      4 VARIES     LocalVar%WE_Op_Last
      912      8 VARIES     LocalVar%VS_LastGenTrqF
      920      8 const-zero LocalVar%PRC_WSE_F
      928      8 const      LocalVar%PRC_R_Speed
      936      8 const      LocalVar%PRC_R_Torque
      944      8 const      LocalVar%PRC_R_Pitch
      952      8 const-zero LocalVar%PRC_R_Total
      960      8 const-zero LocalVar%PRC_Min_Pitch
      968      8 VARIES     LocalVar%PS_Min_Pitch
      976      8 VARIES     LocalVar%OL_Index
      984      4 const-zero LocalVar%SU_Stage
      988      8 const-zero LocalVar%SU_LoadStageStartTime
      996      8 const-zero LocalVar%SU_RotSpeedF
     1004      4 VARIES     LocalVar%SD_Trigger
     1008      8 VARIES     LocalVar%SD_BlPitchF
     1016      8 VARIES     LocalVar%SD_NacVaneF
     1024      8 VARIES     LocalVar%SD_GenSpeedF
     1032      4 VARIES     LocalVar%SD_Stage
     1036      8 VARIES     LocalVar%SD_StageStartTime
     1044      8 VARIES     LocalVar%SD_MaxPitchRate
     1052      8 VARIES     LocalVar%SD_MaxTorqueRate
     1060      8 VARIES     LocalVar%GenTq_SD
     1068      8 VARIES     LocalVar%Fl_PitCom
     1076      8 VARIES     LocalVar%NACIMU_FA_AccF
     1084      8 VARIES     LocalVar%FA_AccF
     1092      4 const-zero LocalVar%FA_Hist
     1096      8 const-zero LocalVar%TRA_LastRefSpd
     1104      8 const-zero LocalVar%VS_RefSpeed
     1112      8 VARIES     LocalVar%PtfmTDX
     1120      8 VARIES     LocalVar%PtfmTDY
     1128      8 VARIES     LocalVar%PtfmTDZ
     1136      8 VARIES     LocalVar%PtfmRDX
     1144      8 VARIES     LocalVar%PtfmRDY
     1152      8 VARIES     LocalVar%PtfmRDZ
     1160      8 VARIES     LocalVar%PtfmTVX
     1168      8 VARIES     LocalVar%PtfmTVY
     1176      8 VARIES     LocalVar%PtfmTVZ
     1184      8 VARIES     LocalVar%PtfmRVX
     1192      8 VARIES     LocalVar%PtfmRVY
     1200      8 VARIES     LocalVar%PtfmRVZ
     1208      8 VARIES     LocalVar%PtfmTAX
     1216      8 VARIES     LocalVar%PtfmTAY
     1224      8 VARIES     LocalVar%PtfmTAZ
     1232      8 VARIES     LocalVar%PtfmRAX
     1240      8 VARIES     LocalVar%PtfmRAY
     1248      8 VARIES     LocalVar%PtfmRAZ
     1256      8 VARIES     LocalVar%CC_DesiredL(1)
     1264      8 VARIES     LocalVar%CC_DesiredL(2)
     1272      8 VARIES     LocalVar%CC_DesiredL(3)
     1280      8 const-zero LocalVar%CC_DesiredL(4)
     1288      8 const-zero LocalVar%CC_DesiredL(5)
     1296      8 const-zero LocalVar%CC_DesiredL(6)
     1304      8 const-zero LocalVar%CC_DesiredL(7)
     1312      8 const-zero LocalVar%CC_DesiredL(8)
     1320      8 const-zero LocalVar%CC_DesiredL(9)
     1328      8 const-zero LocalVar%CC_DesiredL(10)
     1336      8 const-zero LocalVar%CC_DesiredL(11)
     1344      8 const-zero LocalVar%CC_DesiredL(12)
     1352      8 VARIES     LocalVar%CC_ActuatedL(1)
     1360      8 VARIES     LocalVar%CC_ActuatedL(2)
     1368      8 VARIES     LocalVar%CC_ActuatedL(3)
     1376      8 const-zero LocalVar%CC_ActuatedL(4)
     1384      8 const-zero LocalVar%CC_ActuatedL(5)
