reset,minValue,maxValue,error,kp,ki,kd,tf,DT,I0,EFilt,PTerm,ITerm_in,ITerm_upd,ITerm_sat,DTerm,raw,result
0,-500000000.00050002,350000000.00064993,0,-300,300,-600,600,300,-600,0,-0,-997.83458567668629,-997.83458567668629,-997.83458567668629,-1995.7052251770874,-2993.5398108537738,-2993.5398108537738
0,-500000000.00050002,350000000.00064993,0,-300,300,-600,600,300,-600,0,-0,-998.02420123888555,-998.02420123888555,-998.02420123888555,-1996.0454550711179,-2994.0696563100037,-2994.0696563100037
0,-500000000.00050002,350000000.00064993,0,-300,300,-600,600,300,-600,0,-0,-0.79358814049581483,-0.79358814049581483,-0.79358814049581483,-1.8229371683730726,-2.6165253088688876,-2.6165253088688876
0,-500000000.00050002,350000000.00064993,0,-300,300,-600,600,300,-600,0,-0,998.06462278977642,998.06462278977642,998.06462278977642,1996.5563487541574,2994.6209715439336,2994.6209715439336
0,-500000000.00050002,350000000.00064993,0,-300,300,-600,600,300,-600,0,-0,-997.90464919252872,-997.90464919252872,-997.90464919252872,-1995.7348198471559,-2993.6394690396846,-2993.6394690396846
0,-0.001,55628886.320228159,-0.90466063951340914,-1000,14.28354515676631,-0.7522054301531248,-1000,87.561497770815905,-240.8671571217844,-0.90466063951340925,904.66063951340914,-697.8684160886886,-1829.3171714945115,-0.001,-5.5735099245144344,899.08612958889478,899.08612958889478
0,-87220939.608851686,772689251.45349526,-12.503043749687539,-30.663011519218088,-86.41128113119548,1000,1000,-753.10017292906764,-295.18970027939815,nan,383.38097452195672,-743.34343353905172,-814395.80409240979,-814395.80409240979,nan,nan,-87220939.608851686
0,-21993289.342471935,0.001,38.85120901794479,0.74156497473248417,77.939936171078472,-959.42467520780212,-10.916862664939609,1000,-962.61243243583453,nan,28.81069583371869,357.32454710479044,3028418.0755749503,0.001,nan,nan,-21993289.342471935
0,-0.001,0.001,-958.81102018999593,0.72170721383072367,48.707850628297926,-0.92181727981080019,1000,-0.98238987874587547,-1000,nan,-691.98082997151573,-524.49677632668795,45354.705915291161,0.001,nan,nan,-0.001
0,-0.001,0.001,0.43386262451229629,71.680611822080735,0.40654603384639026,236.59564566442737,-1000,920.51699101756674,1000,0.43386262451229635,31.099538371775079,-239.85236432349035,-77.486855904759324,-0.001,-39.652250494762711,-8.5537121229876334,-0.001
0,-460996257.61756569,0.001,547.14317308069928,-802.79179613968108,-0.3660644800482904,-1000,224.46069001801482,-0.25424558937311437,-1000,nan,-439242.05066301901,779.20613395559121,830.12890198893251,0.001,nan,nan,-460996257.61756569
0,-0.001,236274.08713537458,-39.174825878378535,137.98572885334858,727.44153587705523,683.69036345856875,868.28628321391977,-33.147652458351608,1000,nan,-5405.5669015310832,381.61428594615609,945003.37644339923,236274.08713537458,nan,nan,-0.001
0,-642985170.41703796,0.001,-53.601707096153525,-716.72599056214813,671.46938084869419,-1000,-163.44562470938519,899.98642284332652,79.60969129462741,nan,38417.736614312758,-375.42005853149868,-32392601.320982873,-32392601.320982873,nan,nan,-642985170.41703796
1,-500000000.00050002,350000000.00064993,0,-300,300,-600,600,300,-600,0,nan,nan,nan,nan,nan,nan,-600
1,-0.001,93707742.577296361,-998.49284903136311,-0.70499159193425776,78.281251589137526,-0.26258008632202667,-55.930526108018547,994.71530990452845,-32.687636232652096,-998.49284903136288,nan,nan,nan,nan,nan,nan,-32.687636232652096
1,-0.001,13297246.814724773,81.426544354806339,-729.0711536676173,-19.932015935468115,89.89614596001357,780.79980515197508,-95.166189652443379,1000,81.426544354806339,nan,nan,nan,nan,nan,nan,1000
1,-0.001,0.001,-702.51853244144866,-90.752378102178071,-250.49536643738855,-0.62930664244149059,-38.721983317705934,905.21023676725099,-1000,-702.51853244144877,nan,nan,nan,nan,nan,nan,-1000
1,-0.001,0.001,944.21973712734643,-93.4395385642311,-1000,-976.71431248985937,277.00471927017344,-83.492579736524348,-77.620016366317216,944.21973712734678,nan,nan,nan,nan,nan,nan,-77.620016366317216
1,-0.001,841308.51637501223,-0.80841281558361944,-0.079118640220515735,30.438992061661541,-31.168914561870874,-438.43237380524869,-449.02259195239026,-371.74182164436155,-0.80841281558361933,nan,nan,nan,nan,nan,nan,-371.74182164436155
1,-0.001,0.001,1000,1000,0.70792475291100687,5.2532530061242708,-766.0566691999926,-465.1560787010647,1000,1000.0000000000001,nan,nan,nan,nan,nan,nan,1000
1,-1000000000,0.001,0.42700327928694692,555.99775759394095,15.798018446385464,-601.73006012679878,1000,135.05101405843979,-60.382678287631066,0.42700327928694698,nan,nan,nan,nan,nan,nan,-60.382678287631066
1,-53573132.688288145,331422037.48773414,0.45737096632987728,-33.222753715169048,-1000,-59.047085356499103,10.802643830144865,354.80826720185911,-795.13671347815841,0.45737096632987728,nan,nan,nan,nan,nan,nan,-795.13671347815841
0,-500000000.00050002,350000000.00064993,0,-300,300,-600,600,300,-600,0,-0,-997.99745616737823,-997.99745616737823,-997.99745616737823,-1995.5931463534844,-2993.5906025208624,-2993.5906025208624
1,-7181580.8888309188,139487034.99730453,-411.51794657498476,527.72006209790948,42.69278579498333,316.05071068932932,-868.23315590055711,0.084202126314813386,835.52417775722779,-411.51794657498471,nan,nan,nan,nan,nan,nan,835.52417775722779
1,-474532713.78441978,993254831.95358145,564.70403414049235,-175.30712802961256,-0.20818610540829963,-0.69048804207700609,-51.628191602887703,0.79658713077070198,0.41066695071446402,564.70403414049247,nan,nan,nan,nan,nan,nan,0.41066695071446402
0,-0.001,1000000000,-493.99084349405251,1000,1000,-75.81969376806974,-1000,-95.966176053245476,-694.68384634801157,-493.99084349405257,-493990.84349405253,553.4495785558629,47406965.705020033,47406965.705020033,-389.03347095051413,46912585.828055032,46912585.828055032
1,-0.001,1000000000,-1000,0.13124617212448131,1000,289.19857126225554,-1000,-917.24326898841514,-0.44883547604903051,-1000,nan,nan,nan,nan,nan,nan,-0.44883547604903051
0,-0.001,272106542.76732081,-645.621028867527,-788.30517409381628,84.808805368353006,-1000,-235.32507564157368,-617.00472769633689,-73.073179614678523,-645.62102886752712,508946.39756004466,600.87848235805552,33784292.56682083,33784292.56682083,-2199.8841302607725,34291039.080250613,34291039.080250613
1,-1000000000,0.001,0.040110549852960586,-954.37045981632491,90.997930480951425,-0.99016899848659445,1000,-6.6023750478749754,-701.86095878150854,0.040110549852960586,nan,nan,nan,nan,nan,nan,-701.86095878150854
0,-0.001,597480.8610269482,-1000,470.84038272679419,-0.7992845373217552,36.698688061783756,-0.9055292836069655,-162.23447466402342,1000,-1000.0000000000001,-470840.38272679417,-511.57530908161289,-130183.0823285536,-0.001,236.38291242143856,-470604.00081437273,-0.001
0,-0.001,0.001,-1000,-1000,158.61024216579312,360.31764636435071,1000,1000,-9.6517916780847877,-1000,1000000,-123.88348363721971,-158610366.04927677,-0.001,-154.38079843407908,999845.61820156593,0.001
0,-500000000.00050002,350000000.00064993,0,-300,300,-600,600,300,-600,nan,-0,-997.8587535508866,-997.8587535508866,-997.8587535508866,nan,nan,-500000000.00050002
1,-0.001,0.001,1000,0.33804351919032483,1000,1000,-165.46629927304579,0.65121877555711616,839.87676070771249,1000,nan,nan,nan,nan,nan,nan,839.87676070771249
1,-740256.10961087176,0.001,578.21458337319837,-179.24174026276819,-454.49050524689636,-1000,-0.2702326942181088,0.47015069278450339,-1000,578.21458337319837,nan,nan,nan,nan,nan,nan,-1000
1,-0.001,0.001,-471.316387231997,845.09334721286189,87.326036815209633,-0.58012486243937045,626.417220637377,941.03626020048978,775.95091885000909,-471.31638723199694,nan,nan,nan,nan,nan,nan,775.95091885000909
1,-499593.88040015718,123084881.83877753,257.04717451844192,-0.045843934957167987,446.60957404337955,-0.98126916193998559,-0.22179248547850272,-80.77910487910755,-0.48048286867337286,257.04717451844192,nan,nan,nan,nan,nan,nan,-0.48048286867337286
0,-0.001,0.001,24.780344468725815,-98.644539223814135,-123.09800513657177,-263.68445308707612,-49.214674501980362,1000,446.29791156122491,nan,-2444.4456619248494,-113.97030439985441,-3050524.9410016281,-0.001,nan,nan,-0.001
1,-0.001,650919.37295706011,229.87289959618363,319.91688987186603,138.83759331203117,-110.30841328255336,433.74329957593204,-268.41380039230023,0.05579272389265455,229.87289959618363,nan,nan,nan,nan,nan,nan,0.05579272389265455
0,-873107004.75045836,0.001,-1000,953.98795947148801,-1000,-230.01698877291577,696.18716658822689,14.839057266615185,1000,nan,-953987.95947148802,250.30729725927597,14839307.573912445,0.001,nan,nan,-873107004.75045836
1,-0.001,0.001,-77.85568694383737,-33.58475620314438,-1000,-400.4101503405999,572.21143353050502,-96.380947424180448,-9.1527527828776378,-77.85568694383737,nan,nan,nan,nan,nan,nan,-9.1527527828776378
0,-500000000.00050002,350000000.00064993,0,-300,300,-600,600,300,-600,nan,-0,-998.01055231065038,-998.01055231065038,-998.01055231065038,nan,nan,-500000000.00050002
1,-63784216.10242416,911366080.58144855,-657.23235774862917,-0.71799669503891128,-1000,1000,-1000,0.28924287265586446,694.07041716366132,-657.23235774862906,nan,nan,nan,nan,nan,nan,694.07041716366132
1,-0.001,924050014.79820406,319.75058809624278,183.53160881015972,0.38164976498901076,409.45071802837572,-89.679338826426743,604.26215692492826,881.21578684688643,319.75058809624278,nan,nan,nan,nan,nan,nan,881.21578684688643
0,-1000000000,0.001,353.65686938506656,-0.58826396771891587,1000,-28.183067383591975,-33.796946119529728,0.079062350447276719,0.32905232735944279,nan,-208.04359319550963,243.88666573630644,28204.830011145204,0.001,nan,nan,-1000000000
0,-9450945.4078768771,0.001,-82.971573566148479,12.028846207527888,89.858096025706487,-674.44830502532955,-373.58519615062158,877.68715061178273,-25.106903770041257,nan,-998.05229802378631,-308.98898284005082,-6544052.6625994416,-6544052.6625994416,nan,nan,-9450945.4078768771
0,-1000000000,0.001,0.22886193571531122,1000,0.069562153198596377,-912.95767766990821,-1000,98.901416395174635,-670.27725425866527,nan,228.8619357153112,166.25006039568214,167.82458370629476,0.001,nan,nan,-1000000000
0,-0.001,177259069.84907013,65.965647682523908,0.64109921837791095,-43.868114388835934,1000,-73.982458842367762,-90.381438582413708,-155.14434830507361,nan,42.290525169058732,-438.62710817208381,261106.14754928325,261106.14754928325,nan,nan,-0.001
1,-1000000000,0.001,31.638710779785306,-84.596523026220893,192.60995880240682,668.28808536758095,94.270264691457939,65.398060014300071,350.21426829074562,31.63871077978531,nan,nan,nan,nan,nan,nan,350.21426829074562
0,-0.001,0.001,-53.711338789617734,729.74802332672243,-0.021653828027504707,36.894091849793135,66.965739681997405,126.33703241558169,-238.9912646761949,nan,-39195.743311955455,146.54647894864226,293.48353430617215,0.001,nan,nan,-0.001
0,-500000000.00050002,350000000.00064993,0,-300,300,-600,600,300,-600,nan,-0,-997.83182723124889,-997.83182723124889,-997.83182723124889,nan,nan,-500000000.00050002
1,-500000000.00050002,350000000.00064993,0,-300,300,-600,600,300,-600,0,nan,nan,nan,nan,nan,nan,-600
0,-500000000.00050002,350000000.00064993,0,-300,300,-600,600,300,-600,0,-0,-998.03612883260132,-998.03612883260132,-998.03612883260132,-1995.7315481128869,-2993.7676769454883,-2993.7676769454883
