case,field,type,status,computed,reference,diff
interp1d.0.0.19,size_avcmsg,scalar,IDENTICAL,500,500,
interp1d.0.0.19,avifail,scalar,IDENTICAL,0,0,
interp1d.0.0.19,errstat,scalar,IDENTICAL,0,0,
interp1d.0.0.19,a_op,scalar,IDENTICAL,-4.2915595848541287E-002,-4.2915595848541287E-002,
interp1d.0.0.20,size_avcmsg,scalar,IDENTICAL,500,500,
interp1d.0.0.20,avifail,scalar,IDENTICAL,0,0,
interp1d.0.0.20,errstat,scalar,IDENTICAL,0,0,
interp1d.0.0.20,a_op,scalar,IDENTICAL,-4.2912054358574210E-002,-4.2912054358574210E-002,
interp1d.0.0.12000,size_avcmsg,scalar,IDENTICAL,500,500,
interp1d.0.0.12000,avifail,scalar,IDENTICAL,0,0,
interp1d.0.0.12000,errstat,scalar,IDENTICAL,0,0,
interp1d.0.0.12000,a_op,scalar,IDENTICAL,-5.4338805640332305E-002,-5.4338805640332305E-002,
interp1d.0.0.12001,size_avcmsg,scalar,IDENTICAL,500,500,
interp1d.0.0.12001,avifail,scalar,IDENTICAL,0,0,
interp1d.0.0.12001,errstat,scalar,IDENTICAL,0,0,
interp1d.0.0.12001,a_op,scalar,IDENTICAL,-5.4339224691489670E-002,-5.4339224691489670E-002,
interp1d.0.0.12002,size_avcmsg,scalar,IDENTICAL,500,500,
interp1d.0.0.12002,avifail,scalar,IDENTICAL,0,0,
interp1d.0.0.12002,errstat,scalar,IDENTICAL,0,0,
interp1d.0.0.12002,a_op,scalar,IDENTICAL,-5.4339643504502384E-002,-5.4339643504502384E-002,
interp1d.0.0.12003,size_avcmsg,scalar,IDENTICAL,500,500,
interp1d.0.0.12003,avifail,scalar,IDENTICAL,0,0,
interp1d.0.0.12003,errstat,scalar,IDENTICAL,0,0,
interp1d.0.0.12003,a_op,scalar,IDENTICAL,-5.4340062014703372E-002,-5.4340062014703372E-002,
interp1d.0.0.12004,size_avcmsg,scalar,IDENTICAL,500,500,
interp1d.0.0.12004,avifail,scalar,IDENTICAL,0,0,
interp1d.0.0.12004,errstat,scalar,IDENTICAL,0,0,
interp1d.0.0.12004,a_op,scalar,IDENTICAL,-5.4340480171819333E-002,-5.4340480171819333E-002,
interp1d.0.0.12005,size_avcmsg,scalar,IDENTICAL,500,500,
interp1d.0.0.12005,avifail,scalar,IDENTICAL,0,0,
interp1d.0.0.12005,errstat,scalar,IDENTICAL,0,0,
interp1d.0.0.12005,a_op,scalar,IDENTICAL,-5.4340897936705657E-002,-5.4340897936705657E-002,
interp1d.0.0.12006,size_avcmsg,scalar,IDENTICAL,500,500,
interp1d.0.0.12006,avifail,scalar,IDENTICAL,0,0,
interp1d.0.0.12006,errstat,scalar,IDENTICAL,0,0,
interp1d.0.0.12006,a_op,scalar,IDENTICAL,-5.4341315257789354E-002,-5.4341315257789354E-002,
interp1d.0.0.12007,size_avcmsg,scalar,IDENTICAL,500,500,
interp1d.0.0.12007,avifail,scalar,IDENTICAL,0,0,
interp1d.0.0.12007,errstat,scalar,IDENTICAL,0,0,
interp1d.0.0.12007,a_op,scalar,IDENTICAL,-5.4341732072146209E-002,-5.4341732072146209E-002,
interp1d.0.0.12008,size_avcmsg,scalar,IDENTICAL,500,500,
interp1d.0.0.12008,avifail,scalar,IDENTICAL,0,0,
interp1d.0.0.12008,errstat,scalar,IDENTICAL,0,0,
interp1d.0.0.12008,a_op,scalar,IDENTICAL,-5.4342148327239388E-002,-5.4342148327239388E-002,
interp1d.0.0.12009,size_avcmsg,scalar,IDENTICAL,500,500,
interp1d.0.0.12009,avifail,scalar,IDENTICAL,0,0,
interp1d.0.0.12009,errstat,scalar,IDENTICAL,0,0,
interp1d.0.0.12009,a_op,scalar,IDENTICAL,-5.4342563999130872E-002,-5.4342563999130872E-002,
interp1d.0.0.12010,size_avcmsg,scalar,IDENTICAL,500,500,
interp1d.0.0.12010,avifail,scalar,IDENTICAL,0,0,
interp1d.0.0.12010,errstat,scalar,IDENTICAL,0,0,
interp1d.0.0.12010,a_op,scalar,IDENTICAL,-5.4342979045289633E-002,-5.4342979045289633E-002,
interp1d.0.0.12011,size_avcmsg,scalar,IDENTICAL,500,500,
interp1d.0.0.12011,avifail,scalar,IDENTICAL,0,0,
